SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE normal,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,SGE attack,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE normal,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack,GTE attack
3.308,2.882,3.22,2.873,3.061,2.922,3.195,2.901,3.281,3.105,3.16,3.552,3.493,3.355,3.104,3.072,3.381,3.212,3.262,3.411,0.155,0.208,0.178,0.22,0.185,0.215,0.168,0.213,0.156,0.177,0.176,0.129,0.141,0.159,0.183,0.189,0.14,0.177,0.162,0.146
3.226,2.861,3.206,3.23,3.316,3.26,3.239,3.057,3.169,3.054,3.252,3.312,3.334,2.915,3.287,2.975,3.38,3.423,3.326,3.512,0.186,0.261,0.196,0.192,0.178,0.193,0.178,0.219,0.198,0.192,0.175,0.16,0.152,0.23,0.158,0.199,0.151,0.146,0.163,0.13
3.03,3.227,3.203,2.974,3.578,3.358,3.513,3.024,3.381,3.201,3.408,3.449,3.533,3.478,3.381,3.346,3.249,3.486,3.568,3.484,3.533,0.199,0.168,0.168,0.182,0.122,0.145,0.139,0.226,0.152,0.179,0.149,0.143,0.142,0.127,0.145,0.159,0.19,0.147,0.152,0.137,0.139
2.992,3.137,3.191,3.123,2.992,3.105,3.104,3.142,3.246,3.04,3.195,3.204,3.084,3.06,3.452,3.269,3.305,3.134,3.153,3.266,0.19,0.166,0.159,0.168,0.2,0.17,0.173,0.169,0.164,0.175,0.165,0.17,0.197,0.184,0.134,0.161,0.165,0.181,0.184,0.164
2.934,2.979,2.916,3.023,2.977,3.081,2.972,3.028,3.047,2.841,3.102,2.942,3.113,2.926,2.993,3.118,3.185,3.082,2.92,2.981,0.2,0.182,0.201,0.181,0.187,0.184,0.192,0.187,0.173,0.218,0.173,0.197,0.172,0.196,0.182,0.171,0.157,0.179,0.217,0.188
3.064,3.048,3.196,2.895,3.151,3.173,3.179,2.878,2.957,2.944,3.295,3.264,3.446,3.37,3.287,3.375,2.944,3.416,3.179,3.316,0.2,0.199,0.167,0.226,0.184,0.181,0.179,0.228,0.209,0.215,0.167,0.171,0.143,0.16,0.167,0.154,0.219,0.152,0.182,0.167
3.122,2.984,3.109,3.356,3.033,2.897,2.519,3.129,2.177,3.241,3.436,3.018,2.744,2.187,3.102,2.938,2.78,3.289,3.114,2.835,0.203,0.253,0.211,0.178,0.22,0.231,0.278,0.198,0.321,0.187,0.156,0.211,0.272,0.329,0.193,0.23,0.231,0.177,0.205,0.274
3.357,3.178,3.001,3.199,3.263,3.186,3.112,2.943,3.283,2.652,3.101,3.127,3.28,3.247,3.265,3.09,3.318,3.161,3.241,3.341,0.15,0.178,0.189,0.166,0.162,0.174,0.177,0.203,0.155,0.24,0.185,0.184,0.155,0.163,0.172,0.207,0.156,0.189,0.166,0.161
3.03,3.04,2.997,3.058,3.02,3.09,3.138,2.858,3.019,2.947,3.383,3.235,3.135,3.41,3.223,3.085,2.999,3.245,3.195,3.239,0.201,0.19,0.18,0.178,0.194,0.191,0.18,0.226,0.206,0.194,0.146,0.17,0.177,0.14,0.161,0.194,0.199,0.17,0.167,0.174
3.367,3.396,3.139,3.353,3.464,3.488,3.279,3.401,3.327,3.45,3.451,3.233,3.161,3.44,3.371,3.407,3.352,3.343,3.503,3.467,0.137,0.133,0.167,0.14,0.128,0.121,0.14,0.134,0.156,0.132,0.136,0.157,0.167,0.136,0.141,0.139,0.145,0.148,0.13,0.138
3.087,2.863,2.944,2.797,2.711,2.513,3.276,2.103,2.88,2.576,2.058,2.406,2.934,2.778,2.865,2.812,2.554,2.665,2.829,2.781,0.218,0.269,0.227,0.254,0.283,0.348,0.184,0.407,0.251,0.289,0.437,0.328,0.249,0.278,0.247,0.262,0.287,0.278,0.247,0.256
2.645,2.54,2.851,2.865,2.759,2.717,2.789,2.88,2.622,2.768,2.978,2.879,2.916,2.828,2.843,2.884,2.734,2.938,2.868,3.047,0.27,0.282,0.246,0.228,0.263,0.259,0.247,0.235,0.281,0.266,0.217,0.24,0.235,0.241,0.251,0.24,0.257,0.239,0.245,0.216
